,rel_hum,sp_hum,abs_hum,u_wind,v_wind,temp
151,29.0,0.00508,4.93778295631,-1.8,-1.9,292.9
152,15.0,0.00432,4.11565226508,1.0,-2.00000152588,301.3
153,21.0,0.00466,4.50509395026,-0.4,2.49999847412,296.9
154,46.0,0.00648,6.39861159167,-1.0,2.99999847412,289.5
155,53.0,0.00753,7.50665827703,-2.5,2.49999847412,289.8
156,19.0,0.00582,5.5368196569,-3.30000152588,-0.4,302.4
157,15.0,0.00458,4.27671984695,-2.90000152588,0.3,302.0
158,44.0,0.00698,6.85707396607,-5.8,2.0,291.4
159,44.0,0.00685,6.77607290276,-6.8,0.0,291.2
160,14.0,0.00497,4.52177834186,-5.4,-0.1,304.3
161,13.0,0.00379,3.68626528103,-3.3,-0.100001525879,301.9
162,22.0,0.00411,3.99452932677,-5.5,-0.1,294.0
163,20.0,0.00324,3.19163564617,-3.2,-0.200001525879,291.8
164,9.0,0.00322,2.93825299966,1.2,-0.600001525879,304.5
165,18.0,0.00486,4.62201830566,0.9,-1.8,300.1
166,32.0,0.0046,4.53232197858,0.6,-0.5,289.8
167,44.0,0.00694,6.85707396607,0.0,1.1,291.4
168,9.0,0.00336,3.00191959952,1.5,-0.3,304.9
169,16.0,0.00428,4.13131430663,1.89999847412,-0.1,300.2
170,34.0,0.00488,4.84462130807,-0.4,-1.0,289.9
171,27.0,0.00464,4.57034142437,-1.8,1.39999847412,292.8
172,12.0,0.00424,4.02402705204,-0.900001525879,-1.2,305.0
173,16.0,0.0049,4.5121663503,0.7,-1.6,301.8
174,21.0,0.00381,3.68187430607,-3.7,-1.10000152588,293.4
175,20.0,0.00387,3.71674091342,-3.5,-0.2,294.4
176,8.0,0.00315,2.79957313652,-2.1,-0.2,305.8
177,8.0,0.00269,2.51522491632,-1.6,0.7,303.8
178,29.0,0.00486,4.82306944749,-3.5,2.4,292.5
179,33.0,0.00598,5.88801823806,-2.5,1.3,293.7
180,9.0,0.00354,3.35598902598,-0.6,0.5,307.0
181,10.0,0.00316,3.02719522904,0.9,-2.1,303.1
182,42.0,0.00678,6.70243485695,0.2,0.5,291.8
183,15.0,0.00248,2.48004547467,1.2,1.79999847412,292.4
184,8.0,0.00312,2.78472692006,4.19999847412,-0.800001525879,305.7
185,11.0,0.00341,3.34801910938,3.5,-1.8,303.2
186,30.0,0.0047,4.62004970643,0.5,-0.8,291.2
187,23.0,0.00398,3.89325380594,0.8,2.8,292.8
188,10.0,0.00396,3.59353572804,3.4,-1.2,306.3
189,13.0,0.00402,3.78835029156,2.9,-0.9,302.4
190,36.0,0.00546,5.34929593602,-0.9,0.5,290.6
191,22.0,0.00338,3.40823454416,-1.2,2.6,291.3
192,8.0,0.00323,2.96742655091,-0.300001525879,0.5,306.900024414
193,11.0,0.0035,3.38448656026,-3.1,-0.500001525879,303.400024414
194,23.0,0.00434,4.22492871348,-7.4,1.89999847412,294.2
195,28.0,0.00468,4.60221893299,-7.8,0.499998474121,292.3
196,14.0,0.00458,4.40164360356,-7.5,1.7,303.8
197,15.0,0.00428,4.07060433234,-8.3,0.599998474121,301.1
198,35.0,0.00573,5.6185025142,-7.9,1.1,291.9
199,45.0,0.00677,6.68661992002,-7.9,0.0,290.6
200,20.0,0.00618,5.86008736058,-6.9,1.0,302.5
201,20.0,0.00565,5.36797595321,-6.1,1.3,300.9
202,41.0,0.00653,6.50423045468,-7.0,1.4,291.7
203,44.0,0.00694,6.77607290276,-6.1,0.2,291.2
204,17.0,0.00578,5.34485294718,-9.2,2.0,303.8
205,17.0,0.00512,4.74190001419,-10.0,1.1,301.6
206,26.0,0.00491,4.77600637176,-10.9,-0.2,294.2
207,28.0,0.00502,4.93792920671,-12.1,0.3,293.5
208,14.0,0.00468,4.33088900705,-12.5,1.7,303.5
209,14.0,0.00395,3.73690737276,-10.4,1.89999847412,300.8
210,23.0,0.00394,3.87045122604,-10.1,0.2,292.7
211,25.0,0.00412,4.13340912445,-9.0,-0.1,292.4
212,9.0,0.00331,3.01802028903,-10.8000015259,2.4,305.0
213,12.0,0.00382,3.53525598392,-10.3,1.59999847412,302.6
214,22.0,0.00405,4.01782398907,-9.0,-1.10000152588,294.1
